"","date","type","team","opp","location","conf","opp_conf","pts","opp_pts","fga","oreb","to","fta","opp_fga","opp_oreb","opp_to","opp_fta","off_ppp","def_ppp","adj_o","adj_d","tempo","avg_marg","net","quad"
"130",2024-11-06,"nc","San Diego St.","UC San Diego","H","Mountain West","Big West",63,58,50,5,14,15,61,9,8,13,95.2,87.7,99.9,84.7,66.2,1.99417,46,"Quadrant 2"
"131",2024-11-06,"nc","Morgan St.","Mercyhurst","H","MEAC","Northeast",73,78,53,14,18,24,59,15,15,25,104.8,112,98,122.1,69.6,0.414399,337,"Quadrant 4"
"132",2024-11-06,"nc","South Dakota","Texas A&M Commerce","H","Summit","Southland",91,83,66,13,13,36,66,8,15,25,108.3,98.8,101.9,114,84,3.9875,328,"Quadrant 4"
"133",2024-11-06,"nc","San Diego","Rider","H","WCC","Metro Atlantic",67,68,63,14,13,17,56,9,14,22,94.7,96.1,86.2,104.1,70.8,-1.23208,323,"Quadrant 4"
"134",2024-11-06,"nc","Minnesota","Oral Roberts","H","Big Ten","Summit",80,57,52,5,9,17,58,12,15,11,122.8,87.5,110.5,92,65.2,13.1677,341,"Quadrant 4"
"135",2024-11-06,"nc","Georgia Tech","West Georgia","H","ACC","Atlantic Sun",85,62,68,13,12,17,64,6,8,18,113.6,82.9,105.8,91,74.8,15.6687,348,"Quadrant 4"
"136",2024-11-06,"nc","Virginia","Campbell","H","ACC","CAA",65,56,42,4,11,18,56,7,9,4,110.7,95.4,106.4,104.6,58.7,5.512,288,"Quadrant 4"
"137",2024-11-06,"nc","Utah St.","Alcorn St.","H","Mountain West","SWAC",101,46,72,20,9,18,55,10,20,11,144.5,65.8,124.3,78,69.9,23.698,352,"Quadrant 4"
"138",2024-11-06,"nc","Eastern Washington","Seattle","H","Big Sky","WAC",93,86,59,4,6,20,59,8,10,26,129.3,119.6,128.8,119.3,71.9,5.34958,157,"Quadrant 3"
"139",2024-11-06,"nc","Le Moyne","Cal St. Northridge","H","Northeast","Big West",75,97,53,9,15,40,60,12,14,33,96.4,124.6,102.2,123.3,77.8,-7.10223,96,"Quadrant 3"
"140",2024-11-06,"nc","Indiana","SIU Edwardsville","H","Big Ten","Ohio Valley",80,61,57,9,16,17,71,16,12,13,110.2,84,108.5,92.6,72.6,8.97562,241,"Quadrant 4"
"141",2024-11-06,"nc","High Point","Coppin St.","H","Big South","MEAC",93,51,55,8,12,25,64,12,13,13,130.9,71.8,119.1,94,71,18.186,358,"Quadrant 4"
