"","team","position","type","count"
"409","Ashland University","LB","Incoming",1
"410","Ashland University","LB","Outgoing",0
"411","Ashland University","LB","Delta",1
"412","Auburn","CB","Incoming",2
"413","Auburn","CB","Outgoing",3
"414","Auburn","CB","Delta",-1
"415","Auburn","DL","Incoming",3
"416","Auburn","DL","Outgoing",3
"417","Auburn","DL","Delta",0
"418","Auburn","EDGE","Incoming",1
"419","Auburn","EDGE","Outgoing",0
"420","Auburn","EDGE","Delta",1
"421","Auburn","IOL","Incoming",0
"422","Auburn","IOL","Outgoing",3
"423","Auburn","IOL","Delta",-3
"424","Auburn","K","Incoming",1
"425","Auburn","K","Outgoing",0
"426","Auburn","K","Delta",1
"427","Auburn","LB","Incoming",2
"428","Auburn","LB","Outgoing",0
"429","Auburn","LB","Delta",2
"430","Auburn","OT","Incoming",2
"431","Auburn","OT","Outgoing",1
"432","Auburn","OT","Delta",1
"433","Auburn","P","Incoming",1
"434","Auburn","P","Outgoing",0
"435","Auburn","P","Delta",1
"436","Auburn","QB","Incoming",3
"437","Auburn","QB","Outgoing",3
"438","Auburn","QB","Delta",0
"439","Auburn","RB","Incoming",1
"440","Auburn","RB","Outgoing",0
"441","Auburn","RB","Delta",1
"442","Auburn","S","Incoming",1
"443","Auburn","S","Outgoing",5
"444","Auburn","S","Delta",-4
"445","Auburn","TE","Incoming",1
"446","Auburn","TE","Outgoing",3
"447","Auburn","TE","Delta",-2
"448","Auburn","WR","Incoming",2
"449","Auburn","WR","Outgoing",4
"450","Auburn","WR","Delta",-2
"451","Austin Peay","CB","Incoming",2
"452","Austin Peay","CB","Outgoing",1
"453","Austin Peay","CB","Delta",1
"454","Austin Peay","DL","Incoming",1
"455","Austin Peay","DL","Outgoing",0
"456","Austin Peay","DL","Delta",1
"457","Austin Peay","EDGE","Incoming",3
"458","Austin Peay","EDGE","Outgoing",0
"459","Austin Peay","EDGE","Delta",3
"460","Austin Peay","IOL","Incoming",3
"461","Austin Peay","IOL","Outgoing",1
"462","Austin Peay","IOL","Delta",2
"463","Austin Peay","LB","Incoming",2
"464","Austin Peay","LB","Outgoing",1
"465","Austin Peay","LB","Delta",1
"466","Austin Peay","QB","Incoming",1
"467","Austin Peay","QB","Outgoing",0
"468","Austin Peay","QB","Delta",1
"469","Austin Peay","RB","Incoming",1
"470","Austin Peay","RB","Outgoing",1
"471","Austin Peay","RB","Delta",0
"472","Austin Peay","S","Incoming",2
"473","Austin Peay","S","Outgoing",2
"474","Austin Peay","S","Delta",0
"475","Austin Peay","TE","Incoming",1
"476","Austin Peay","TE","Outgoing",0
"477","Austin Peay","TE","Delta",1
"478","Austin Peay","WR","Incoming",5
"479","Austin Peay","WR","Outgoing",1
"480","Austin Peay","WR","Delta",4
"481","BYU","ATH","Incoming",0
"482","BYU","ATH","Outgoing",1
"483","BYU","ATH","Delta",-1
"484","BYU","DL","Incoming",3
"485","BYU","DL","Outgoing",4
"486","BYU","DL","Delta",-1
"487","BYU","EDGE","Incoming",2
